# cluster  IDs
A780        16628,18851,20570,21404,22154,22477,23550,25434,25610,27152,27759,28974,29335,29653,30153,32905,33361,36371,37575,39044,39141,40285,50350,50950,51559,53623,58541,59060,60926,60990,61737,64693,64944,65367,65748,66372,67622,68292,68679,69228,69507,69550,71319,72262,74338,76326,79446,79697,82611,83602,83851,89150,90765,93537,98233,100509,101493
A2142       26658,31402,34688,38183,39685,43336,45880,49101,50034,50063,51143,52846,54831,55109,55290,55443,59918,60498,62202,64103,66952,66993,69434,71722,73027,73965,76551,76623,76701,77100,77579,78849,78951,81101,81628,83464,83651,85725,86970,90018,90230,91807,93036,95380,99491,99786,100977,100991,104828,107438
A2142       26658,31402,34688,38183,39685,43336,45880,49101,50034,50063,51143,52846,54831,55109,55290,55443,59918,60498,62202,64103,66952,66993,69434,71722,73027,73965,76551,76623,76701,77100,77579,78849,78951,81101,81628,83464,83651,85725,86970,90018,90230,91807,93036,95380,99491,99786,100977,100991,104828,107438
A2142       26658,31402,34688,38183,39685,43336,45880,49101,50034,50063,51143,52846,54831,55109,55290,55443,59918,60498,62202,64103,66952,66993,69434,71722,73027,73965,76551,76623,76701,77100,77579,78849,78951,81101,81628,83464,83651,85725,86970,90018,90230,91807,93036,95380,99491,99786,100977,100991,104828,107438
A2142       26658,31402,34688,38183,39685,43336,45880,49101,50034,50063,51143,52846,54831,55109,55290,55443,59918,60498,62202,64103,66952,66993,69434,71722,73027,73965,76551,76623,76701,77100,77579,78849,78951,81101,81628,83464,83651,85725,86970,90018,90230,91807,93036,95380,99491,99786,100977,100991,104828,107438
A2142       26658,31402,34688,38183,39685,43336,45880,49101,50034,50063,51143,52846,54831,55109,55290,55443,59918,60498,62202,64103,66952,66993,69434,71722,73027,73965,76551,76623,76701,77100,77579,78849,78951,81101,81628,83464,83651,85725,86970,90018,90230,91807,93036,95380,99491,99786,100977,100991,104828,107438
A2142       26658,31402,34688,38183,39685,43336,45880,49101,50034,50063,51143,52846,54831,55109,55290,55443,59918,60498,62202,64103,66952,66993,69434,71722,73027,73965,76551,76623,76701,77100,77579,78849,78951,81101,81628,83464,83651,85725,86970,90018,90230,91807,93036,95380,99491,99786,100977,100991,104828,107438
A1650       49752,53944,62290,63871,69673,76889,78059,78680,80540,81619,82884,87275,94052,94627,96569
A1650       49752,53944,62290,63871,69673,76889,78059,78680,80540,81619,82884,87275,94052,94627,96569
A1650       49752,53944,62290,63871,69673,76889,78059,78680,80540,81619,82884,87275,94052,94627,96569
A1651       26810,33095,35604,44117,47460,51742,51798,52988,54424,57376,57438,58456,59178,59210,59428,60129,60828,61765,61925,61984,63757,64930,65267,65799,65947,66754,67895,72114,76155,77167,82257,86507,86572
